[2025-07-02 04:13:47,661][INFO] ============================================================
[2025-07-02 04:13:47,661][INFO] Configuration: {'data_dir': 'data/simple_graph/composition_90/composition_90_fixed', 'n_layer': 1, 'n_head': 1, 'n_embd': 120, 'max_iters': 50000, 'test_interval': 1000, 'device': 'cuda:0', 'learning_rate': 0.0005, 'batch_size': 1024, 'train_paths_per_pair': 10, 'checkpoint_interval': 5000, 'seed': 42, 'eval_temperature': 0.1, 'eval_top_k': 10}
[2025-07-02 04:13:47,662][INFO] ============================================================
[2025-07-02 04:13:48,973][INFO] Iter 0: loss=0.0000, S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 04:14:13,517][INFO] Iter 1000: loss=0.9735, S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 04:14:38,042][INFO] Iter 2000: loss=0.4503, S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 04:15:02,562][INFO] Iter 3000: loss=0.4287, S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 04:15:27,099][INFO] Iter 4000: loss=0.4241, S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 04:15:51,615][INFO] Iter 5000: loss=0.4223, S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 04:16:16,178][INFO] Iter 6000: loss=0.4212, S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 04:16:40,722][INFO] Iter 7000: loss=0.4204, S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 04:17:05,242][INFO] Iter 8000: loss=0.4199, S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 04:17:29,832][INFO] Iter 9000: loss=0.4195, S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 04:17:54,411][INFO] Iter 10000: loss=0.4191, S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 04:18:19,044][INFO] Iter 11000: loss=0.4190, S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 04:18:43,687][INFO] Iter 12000: loss=0.4187, S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 04:19:08,295][INFO] Iter 13000: loss=0.4186, S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 04:19:32,911][INFO] Iter 14000: loss=0.4183, S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
