[2025-07-02 04:43:41,630][INFO] ============================================================
[2025-07-02 04:43:41,630][INFO] Configuration: {'data_dir': 'data/simple_graph/composition_90/composition_90_fixed', 'n_layer': 1, 'n_head': 1, 'n_embd': 120, 'max_iters': 50000, 'test_interval': 1000, 'device': 'cuda:0', 'learning_rate': 0.0005, 'batch_size': 1024, 'train_paths_per_pair': 10, 'checkpoint_interval': 5000, 'seed': 42, 'eval_temperature': 0.1, 'eval_top_k': 10}
[2025-07-02 04:43:41,630][INFO] ============================================================
[2025-07-02 04:43:47,061][INFO] Iter 0: loss=0.0000, S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 04:44:16,041][INFO] Iter 1000: loss=0.9735, S1->S2=100.00%, S2->S3=100.00%, S1->S3=0.00%
[2025-07-02 04:44:45,112][INFO] Iter 2000: loss=0.4503, S1->S2=100.00%, S2->S3=100.00%, S1->S3=0.00%
[2025-07-02 04:45:14,158][INFO] Iter 3000: loss=0.4287, S1->S2=100.00%, S2->S3=100.00%, S1->S3=0.00%
[2025-07-02 04:45:43,190][INFO] Iter 4000: loss=0.4241, S1->S2=100.00%, S2->S3=100.00%, S1->S3=0.00%
[2025-07-02 04:46:12,212][INFO] Iter 5000: loss=0.4223, S1->S2=100.00%, S2->S3=100.00%, S1->S3=0.00%
[2025-07-02 04:46:41,331][INFO] Iter 6000: loss=0.4212, S1->S2=100.00%, S2->S3=100.00%, S1->S3=0.00%
[2025-07-02 04:47:10,464][INFO] Iter 7000: loss=0.4204, S1->S2=100.00%, S2->S3=100.00%, S1->S3=0.00%
[2025-07-02 04:47:39,605][INFO] Iter 8000: loss=0.4199, S1->S2=100.00%, S2->S3=100.00%, S1->S3=0.00%
[2025-07-02 04:48:08,778][INFO] Iter 9000: loss=0.4195, S1->S2=100.00%, S2->S3=100.00%, S1->S3=0.00%
[2025-07-02 04:48:37,854][INFO] Iter 10000: loss=0.4191, S1->S2=100.00%, S2->S3=100.00%, S1->S3=0.00%
[2025-07-02 04:49:06,992][INFO] Iter 11000: loss=0.4190, S1->S2=100.00%, S2->S3=100.00%, S1->S3=0.00%
[2025-07-02 04:49:36,119][INFO] Iter 12000: loss=0.4187, S1->S2=100.00%, S2->S3=100.00%, S1->S3=0.00%
[2025-07-02 04:50:05,356][INFO] Iter 13000: loss=0.4186, S1->S2=100.00%, S2->S3=100.00%, S1->S3=0.00%
[2025-07-02 04:50:34,497][INFO] Iter 14000: loss=0.4183, S1->S2=100.00%, S2->S3=100.00%, S1->S3=0.00%
[2025-07-02 04:51:03,626][INFO] Iter 15000: loss=0.4183, S1->S2=100.00%, S2->S3=100.00%, S1->S3=0.00%
