[2025-07-02 03:05:54,010][INFO] ============================================================
[2025-07-02 03:05:54,011][INFO] Configuration: {'experiment_name': 'composition', 'total_nodes': 90, 'n_layer': 1, 'n_head': 1, 'n_embd': 120, 'max_iters': 100000, 'test_interval': 1000, 'device': 'cuda:0', 'learning_rate': 0.0005, 'batch_size': 1024, 'train_paths_per_pair': 10, 'checkpoint_interval': 10000, 'seed': 42, 'training_mode': 'standard', 'mixed_ratio': 0.1, 'temperature': 0.1, 'top_k': 10}
[2025-07-02 03:05:54,011][INFO] ============================================================
[2025-07-02 03:05:56,379][INFO] Iter 0: loss=0.0000, AR: S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 03:06:21,993][INFO] Iter 1000: loss=2.1080, AR: S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 03:06:47,650][INFO] Iter 2000: loss=0.6813, AR: S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 03:07:13,310][INFO] Iter 3000: loss=0.6717, AR: S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 03:07:38,921][INFO] Iter 4000: loss=0.6700, AR: S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 03:08:04,527][INFO] Iter 5000: loss=0.6689, AR: S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 03:08:30,195][INFO] Iter 6000: loss=0.6688, AR: S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 03:08:55,826][INFO] Iter 7000: loss=0.6681, AR: S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 03:09:21,452][INFO] Iter 8000: loss=0.6680, AR: S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 03:09:47,089][INFO] Iter 9000: loss=0.6677, AR: S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 03:10:12,783][INFO] Iter 10000: loss=0.6677, AR: S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 03:10:38,382][INFO] Iter 11000: loss=0.6674, AR: S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 03:11:04,067][INFO] Iter 12000: loss=0.6674, AR: S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
